food_name,moisture_content,ideal_temp,preservation_methods,shelf_life_days,dietary_tag,packaging_type,humidity_sensitive
1. Apple,High (84%),0∘C−4∘C,"Refrigeration, CA Storage",20-90,"Vegan, Gluten-Free","Fruit Box, Polyethylene bag",Yes (High humidity prevents shriveling)
2. Banana,High (75%),13∘C−20∘C,"Room Temp (ripening), Ethylene control",2-7,"Vegan, Gluten-Free",Open Air (Hanging),No (Refrigeration causes blackening)
3. Orange,Very High (87%),4∘C−10∘C,"Refrigeration, Wax Coating",14-28,"Vegan, Citrus","Mesh Bag, Open Air",Yes (Avoid extreme humidity/wetness)
4. Grapes,Very High (81%),0∘C−2∘C,"Refrigeration, Sulphur Dioxide (SO2) pads",7-14,"Vegan, Low Acid","Vented Clamshell, Plastic Bag",Yes (High humidity promotes mold)
5. Strawberries,Very High (91%),0∘C−4∘C,"Refrigeration, Dry storage",3-7,"Vegan, Berry",Vented Clamshell,Yes (Extremely sensitive to moisture/mold)
6. Blueberries,Very High (84%),0∘C−4∘C,"Refrigeration, Dry storage, Washing before use",7-14,"Vegan, Berry",Vented Clamshell,Yes (Avoid excess moisture)
7. Raspberries,Very High (87%),0∘C−4∘C,"Refrigeration, Dry storage",2-5,"Vegan, Berry",Vented Clamshell,"Yes (Very delicate, highly sensitive to mold)"
8. Mango,High (83%),10∘C−13∘C,"Room Temp (to ripen), Refrigerate when ripe",7-14,"Vegan, Tropical","Open Air, Paper Bag (ripening)",No (Refrigeration when unripe causes chill injury)
9. Pineapple,Very High (86%),7∘C−13∘C,Refrigerate when cut,5-7,"Vegan, Tropical","Open Air (Whole), Clamshell (Cut)",No
10. Watermelon,Extremely High (92%),13∘C−20∘C,"Room Temp (whole), Refrigerate when cut",7-10,"Vegan, Melon","Open Air (Whole), Cling Wrap (Cut)",No (Water content dominates)
11. Cantaloupe,Extremely High (90%),2∘C−7∘C,"Refrigerate, Remove seeds (if cut)",5-10,"Vegan, Melon","Open Air (Whole), Cling Wrap (Cut)",No
12. Peach,Very High (89%),0∘C−4∘C,"Refrigeration, Room Temp (ripening)",3-7,"Vegan, Stone Fruit","Open Container, Paper Bag (ripening)",Yes (Moisture promotes brown rot)
13. Plum,Very High (87%),0∘C−4∘C,Refrigeration,5-10,"Vegan, Stone Fruit",Paper Bag,Yes (Moisture promotes mold)
14. Pear,High (84%),0∘C−4∘C,"Refrigeration, Ripen at room temp",5-12,"Vegan, Pome","Fruit Box, Open Air",Yes (High humidity prevents shriveling)
15. Kiwi,Very High (83%),0∘C−4∘C,Refrigeration,14-28,"Vegan, Tropical",Perforated Bag,Yes (Sensitive to mold/softening)
16. Avocado,Medium (73%),18∘C−24∘C,"Room Temp (ripening), Refrigerate when ripe",3-7,"Vegan, High Fat",Open Air,No (Ripened best at room temp)
17. Fresh Coconut,Medium (47%),0∘C−4∘C,Refrigeration,14-28,"Vegan, Nut",Shell (Natural packaging),No (Natural shell provides protection)
18. Fresh Dates,Medium (69%),0∘C−4∘C,"Refrigeration, Drying (Curing)",30-90,"Vegan, Dried Fruit","Sealed Container, Clamshell",Yes (High moisture leads to fermentation)
19. Fresh Figs,High (79%),0∘C−4∘C,"Refrigeration, Dry storage",3-7,"Vegan, Low Acid","Shallow Tray, Clamshell","Yes (Very delicate, bruises easily)"
20. Lychee,Very High (82%),0∘C−4∘C,"Refrigeration, High Humidity",7-14,"Vegan, Tropical",Perforated Plastic Bag,Yes (Skin discoloration if too dry)
21. Lettuce,Very High (95%),0∘C−4∘C,"Refrigeration, Controlled atmosphere",5-10,"Vegan, Raw","Clamshell, Perforated Bag","Yes (Needs high humidity, but air circulation)"
22. Spinach,Very High (91%),0∘C−4∘C,"Refrigeration, Dry storage",4-7,"Vegan, Leafy Green",Sealed Bag (Modified Atmosphere),Yes (Moisture inside bag causes rapid rot)
23. Kale,Very High (84%),0∘C−4∘C,Refrigeration,7-10,"Vegan, Leafy Green","Bunch, Perforated Bag",Yes (Moisture causes yellowing/spoilage)
24. Broccoli,High (89%),0∘C−2∘C,"Refrigeration, High humidity storage",7-14,"Vegan, Cruciferous","Plastic Bag, Open Display",Yes (Sensitive to drying/florets yellowing)
